ICD,Flag,ICDString,CCSCode,CCSString
N12,10,"Tubulo-interstitial nephritis, not specified as acute or chronic",159,Urinary tract infections
N16,10,Renal tubulo-interstitial disorders in diseases classified elsewhere,161,Other diseases of kidney and ureters
N10,10,Acute tubulo-interstitial nephritis,159,Urinary tract infections
O98,10,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",181,Other complications of pregnancy
O91,10,"Infections of breast associated with pregnancy, the puerperium and lactation",181,Other complications of pregnancy
T71,10,Asphyxiation,244,Other injuries and conditions due to external causes
Q61,10,Cystic kidney disease,215,Genitourinary congenital anomalies
Q05,10,Spina bifida,216,Nervous system congenital anomalies
C71,10,Malignant neoplasm of brain,35,Cancer of brain and nervous system
C73,10,Malignant neoplasm of thyroid gland,36,Cancer of thyroid
E32,10,Diseases of thymus,51,Other endocrine disorders
I89,10,Other noninfective disorders of lymphatic vessels and lymph nodes,121,Other diseases of veins and lymphatics
C34,10,Malignant neoplasm of bronchus and lung,19,Cancer of bronchus; lung
C33,10,Malignant neoplasm of trachea,20,Cancer; other respiratory and intrathoracic
I26,10,Pulmonary embolism,103,Pulmonary heart disease
M81,10,Osteoporosis without current pathological fracture,206,Osteoporosis
E84,10,Cystic fibrosis,56,Cystic fibrosis
K46,10,Unspecified abdominal hernia,143,Abdominal hernia
P22,10,Respiratory distress of newborn,221,Respiratory distress syndrome
P84,10,Other problems with newborn,224,Other perinatal conditions
O62,10,Abnormalities of forces of labor,190,Fetal distress and abnormal forces of labor
O63,10,Long labor,190,Fetal distress and abnormal forces of labor
P19,10,Metabolic acidemia in newborn,220,Intrauterine hypoxia and birth asphyxia
C11,10,Malignant neoplasm of nasopharynx,11,Cancer of head and neck
K26,10,Duodenal ulcer,153,Gastrointestinal hemorrhage
N37,10,Urethral disorders in diseases classified elsewhere,159,Urinary tract infections
E15,10,Nondiabetic hypoglycemic coma,51,Other endocrine disorders
R56,10,"Convulsions, not elsewhere classified",83,Epilepsy; convulsions
J47,10,Bronchiectasis,127,Chronic obstructive pulmonary disease and bronchiectasis
R14,10,Flatulence and related conditions,155,Other gastrointestinal disorders
Z75,10,Problems related to medical facilities and other health care,255,Administrative/social admission
Z76,10,Persons encountering health services in other circumstances,255,Administrative/social admission
Z64,10,Problems related to certain psychosocial circumstances,255,Administrative/social admission
Z57,10,Occupational exposure to risk factors,255,Administrative/social admission
Z65,10,Problems related to other psychosocial circumstances,255,Administrative/social admission
Z56,10,Problems related to employment and unemployment,255,Administrative/social admission
Z74,10,Problems related to care provider dependency,255,Administrative/social admission
Z60,10,Problems related to social environment,255,Administrative/social admission
Z69,10,Encounter for mental health services for victim and perpetrator of abuse,255,Administrative/social admission
Z70,10,"Counseling related to sexual attitude, behavior and orientation",255,Administrative/social admission
Z62,10,Problems related to upbringing,255,Administrative/social admission
Z78,10,Other specified health status,259,Residual codes; unclassified
Z77,10,Other contact with and (suspected) exposures hazardous to health,259,Residual codes; unclassified
Z91,10,"Personal risk factors, not elsewhere classified",158,Chronic kidney disease
Z73,10,Problems related to life management difficulty,255,Administrative/social admission
Z71,10,"Persons encountering health services for other counseling and medical advice, not elsewhere classified",255,Administrative/social admission
Z79,10,Long term (current) drug therapy,173,Menopausal disorders
Z55,10,Problems related to education and literacy,255,Administrative/social admission
Z63,10,"Other problems related to primary support group, including family circumstances",255,Administrative/social admission
Z72,10,Problems related to lifestyle,259,Residual codes; unclassified
Z59,10,Problems related to housing and economic circumstances,255,Administrative/social admission
I35,10,Nonrheumatic aortic valve disorders,96,Heart valve disorders
D46,10,Myelodysplastic syndromes,44,Neoplasms of unspecified nature or uncertain behavior
C92,10,Myeloid leukemia,39,Leukemias
I75,10,Atheroembolism,116,Aortic and peripheral arterial embolism or thrombosis
O68,10,Labor and delivery complicated by abnormality of fetal acid-base balance,190,Fetal distress and abnormal forces of labor
O77,10,Other fetal stress complicating labor and delivery,195,Other complications of birth; puerperium affecting management of mother
K73,10,"Chronic hepatitis, not elsewhere classified",6,Hepatitis
L10,10,Pemphigus,198,Other inflammatory condition of skin
L12,10,Pemphigoid,198,Other inflammatory condition of skin
D18,10,"Hemangioma and lymphangioma, any site",47,Other and unspecified benign neoplasm
K85,10,Acute pancreatitis,152,Pancreatic disorders (not diabetes)
G94,10,Other disorders of brain in diseases classified elsewhere,95,Other nervous system disorders
J06,10,Acute upper respiratory infections of multiple and unspecified sites,126,Other upper respiratory infections
J00,10,Acute nasopharyngitis [common cold],126,Other upper respiratory infections
X17,10,"Contact with hot engines, machinery and tools",2604,E Codes: Fire/burn
X30,10,Exposure to excessive natural heat,2611,E Codes: Natural/environment
X37,10,Cataclysmic storm,2611,E Codes: Natural/environment
X13,10,Contact with steam and other hot vapors,2604,E Codes: Fire/burn
T34,10,Frostbite with tissue necrosis,244,Other injuries and conditions due to external causes
X36,10,"Avalanche, landslide and other earth movements",2611,E Codes: Natural/environment
W40,10,Explosion of other materials,2618,E Codes: Other specified and classifiable
X34,10,Earthquake,2611,E Codes: Natural/environment
X35,10,Volcanic eruption,2611,E Codes: Natural/environment
X18,10,Contact with other hot metals,2604,E Codes: Fire/burn
T69,10,Other effects of reduced temperature,244,Other injuries and conditions due to external causes
T70,10,Effects of air pressure and water pressure,244,Other injuries and conditions due to external causes
X32,10,Exposure to sunlight,2611,E Codes: Natural/environment
T33,10,Superficial frostbite,244,Other injuries and conditions due to external causes
X39,10,Exposure to other forces of nature,2611,E Codes: Natural/environment
X38,10,Flood,2611,E Codes: Natural/environment
X19,10,Contact with other heat and hot substances,2604,E Codes: Fire/burn
X31,10,Exposure to excessive natural cold,2611,E Codes: Natural/environment
T67,10,Effects of heat and light,244,Other injuries and conditions due to external causes
X16,10,"Contact with hot heating appliances, radiators and pipes",2604,E Codes: Fire/burn
X10,10,"Contact with hot drinks, food, fats and cooking oils",2604,E Codes: Fire/burn
X12,10,Contact with other hot fluids,2604,E Codes: Fire/burn
X14,10,Contact with hot air and other hot gases,2604,E Codes: Fire/burn
X15,10,Contact with hot household appliances,2604,E Codes: Fire/burn
X11,10,Contact with hot tap-water,2604,E Codes: Fire/burn
M47,10,Spondylosis,205,Spondylosis; intervertebral disc disorders; other back problems
S01,10,Open wound of head,235,Open wounds of head; neck; and trunk
O46,10,"Antepartum hemorrhage, not elsewhere classified",182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
O45,10,Premature separation of placenta [abruptio placentae],182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
O43,10,Placental disorders,181,Other complications of pregnancy
O44,10,Placenta previa,182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
O67,10,"Labor and delivery complicated by intrapartum hemorrhage, not elsewhere classified",182,Hemorrhage during pregnancy; abruptio placenta; placenta previa
L58,10,Radiodermatitis,253,Allergic reactions
L59,10,Other disorders of skin and subcutaneous tissue related to radiation,253,Allergic reactions
B30,10,Viral conjunctivitis,90,Inflammation; infection of eye
R86,10,Abnormal findings in specimens from male genital organs,258,Other screening for suspected conditions
D67,10,Hereditary factor IX deficiency,62,Coagulation and hemorrhagic disorders
E85,10,Amyloidosis,58,Other nutritional; endocrine; and metabolic disorders
J82,10,"Pulmonary eosinophilia, not elsewhere classified",133,Other lower respiratory disease
K02,10,Dental caries,136,Disorders of teeth and jaw
R53,10,Malaise and fatigue,252,Malaise and fatigue
R22,10,"Localized swelling, mass and lump of skin and subcutaneous tissue",200,Other skin disorders
A30,10,Leprosy [Hansens disease],3,Bacterial infection; unspecified site
C95,10,Leukemia of unspecified cell type,39,Leukemias
K40,10,Inguinal hernia,143,Abdominal hernia
L84,10,Corns and callosities,200,Other skin disorders
R97,10,Abnormal tumor markers,258,Other screening for suspected conditions
N65,10,Deformity and disproportion of reconstructed breast,167,Nonmalignant breast conditions
D20,10,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,47,Other and unspecified benign neoplasm
D13,10,Benign neoplasm of other and ill-defined parts of digestive system,47,Other and unspecified benign neoplasm
I52,10,Other heart disorders in diseases classified elsewhere,104,Other and ill-defined heart disease
L22,10,Diaper dermatitis,253,Allergic reactions
M00,10,Pyogenic arthritis,201,Infective arthritis and osteomyelitis
D25,10,Leiomyoma of uterus,46,Benign neoplasm of uterus
R00,10,Abnormalities of heart beat,106,Cardiac dysrhythmias
O09,10,Supervision of high risk pregnancy,181,Other complications of pregnancy
N27,10,Small kidney of unknown cause,161,Other diseases of kidney and ureters
N26,10,Unspecified contracted kidney,99,Hypertension with complications and secondary hypertension
L49,10,Exfoliation due to erythematous conditions according to extent of body surface involved,198,Other inflammatory condition of skin
M54,10,Dorsalgia,205,Spondylosis; intervertebral disc disorders; other back problems
F84,10,Pervasive developmental disorders,655,Disorders usually diagnosed in infancy
Q75,10,Other congenital malformations of skull and face bones,217,Other congenital anomalies
E00,10,Congenital iodine-deficiency syndrome,48,Thyroid disorders
J98,10,Other respiratory disorders,130,Pleurisy; pneumothorax; pulmonary collapse
A40,10,Streptococcal sepsis,2,Septicemia (except in labor)
K00,10,Disorders of tooth development and eruption,136,Disorders of teeth and jaw
D71,10,Functional disorders of polymorphonuclear neutrophils,63,Diseases of white blood cells
D76,10,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,63,Diseases of white blood cells
K25,10,Gastric ulcer,153,Gastrointestinal hemorrhage
C17,10,Malignant neoplasm of small intestine,18,Cancer of other GI organs; peritoneum
L14,10,Bullous disorders in diseases classified elsewhere,198,Other inflammatory condition of skin
R21,10,Rash and other nonspecific skin eruption,200,Other skin disorders
F39,10,Unspecified mood [affective] disorder,657,Mood disorders
I34,10,Nonrheumatic mitral valve disorders,96,Heart valve disorders
G92,10,Toxic encephalopathy,95,Other nervous system disorders
G98,10,Other disorders of nervous system not elsewhere classified,95,Other nervous system disorders
G96,10,Other disorders of central nervous system,95,Other nervous system disorders
G21,10,Secondary parkinsonism,95,Other nervous system disorders
I20,10,Angina pectoris,101,Coronary atherosclerosis and other heart disease
I73,10,Other peripheral vascular diseases,117,Other circulatory disease
I28,10,Other diseases of pulmonary vessels,103,Pulmonary heart disease
C15,10,Malignant neoplasm of esophagus,12,Cancer of esophagus
N32,10,Other disorders of bladder,162,Other diseases of bladder and urethra
N33,10,Bladder disorders in diseases classified elsewhere,162,Other diseases of bladder and urethra
Q39,10,Congenital malformations of esophagus,214,Digestive congenital anomalies
X58,10,Exposure to other specified factors,2611,E Codes: Natural/environment
T74,10,"Adult and child abuse, neglect and other maltreatment, confirmed",244,Other injuries and conditions due to external causes
T73,10,Effects of other deprivation,244,Other injuries and conditions due to external causes
T75,10,Other and unspecified effects of other external causes,244,Other injuries and conditions due to external causes
W19,10,Unspecified fall,2603,E Codes: Fall
T78,10,"Adverse effects, not elsewhere classified",244,Other injuries and conditions due to external causes
T76,10,"Adult and child abuse, neglect and other maltreatment, suspected",244,Other injuries and conditions due to external causes
C86,10,Other specified types of T/NK-cell lymphoma,38,Non-Hodgkin`s lymphoma
C84,10,Mature T/NK-cell lymphomas,38,Non-Hodgkin`s lymphoma
C85,10,Other specified and unspecified types of non-Hodgkin lymphoma,38,Non-Hodgkin`s lymphoma
E05,10,Thyrotoxicosis [hyperthyroidism],48,Thyroid disorders
H27,10,Other disorders of lens,91,Other eye disorders
K61,10,Abscess of anal and rectal regions,147,Anal and rectal conditions
K60,10,Fissure and fistula of anal and rectal regions,147,Anal and rectal conditions
N18,10,Chronic kidney disease (CKD),158,Chronic kidney disease
A07,10,Other protozoal intestinal diseases,135,Intestinal infection
A09,10,"Infectious gastroenteritis and colitis, unspecified",135,Intestinal infection
A06,10,Amebiasis,135,Intestinal infection
A00,10,Cholera,135,Intestinal infection
A01,10,Typhoid and paratyphoid fevers,135,Intestinal infection
D41,10,Neoplasm of uncertain behavior of urinary organs,44,Neoplasms of unspecified nature or uncertain behavior
D38,10,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs,44,Neoplasms of unspecified nature or uncertain behavior
D44,10,Neoplasm of uncertain behavior of endocrine glands,44,Neoplasms of unspecified nature or uncertain behavior
P61,10,Other perinatal hematological disorders,224,Other perinatal conditions
P60,10,Disseminated intravascular coagulation of newborn,224,Other perinatal conditions
P53,10,Hemorrhagic disease of newborn,224,Other perinatal conditions
D17,10,Benign lipomatous neoplasm,47,Other and unspecified benign neoplasm
D21,10,Other benign neoplasms of connective and other soft tissue,47,Other and unspecified benign neoplasm
D19,10,Benign neoplasm of mesothelial tissue,47,Other and unspecified benign neoplasm
F93,10,Emotional disorders with onset specific to childhood,655,Disorders usually diagnosed in infancy
P25,10,Interstitial emphysema and related conditions originating in the perinatal period,224,Other perinatal conditions
L54,10,Erythema in diseases classified elsewhere,198,Other inflammatory condition of skin
L26,10,Exfoliative dermatitis,198,Other inflammatory condition of skin
L00,10,Staphylococcal scalded skin syndrome,198,Other inflammatory condition of skin
E02,10,Subclinical iodine-deficiency hypothyroidism,48,Thyroid disorders
L57,10,Skin changes due to chronic exposure to nonionizing radiation,200,Other skin disorders
F59,10,Unspecified behavioral syndromes associated with physiological disturbances and physical factors,670,Miscellaneous mental health disorders
N61,10,Inflammatory disorders of breast,167,Nonmalignant breast conditions
R81,10,Glycosuria,49,Diabetes mellitus without complication
I47,10,Paroxysmal tachycardia,106,Cardiac dysrhythmias
O47,10,False labor,184,Early or threatened labor
R05,10,Cough,133,Other lower respiratory disease
H01,10,Other inflammation of eyelid,90,Inflammation; infection of eye
C52,10,Malignant neoplasm of vagina,28,Cancer of other female genital organs
D39,10,Neoplasm of uncertain behavior of female genital organs,44,Neoplasms of unspecified nature or uncertain behavior
C51,10,Malignant neoplasm of vulva,28,Cancer of other female genital organs
D15,10,Benign neoplasm of other and unspecified intrathoracic organs,47,Other and unspecified benign neoplasm
D14,10,Benign neoplasm of middle ear and respiratory system,47,Other and unspecified benign neoplasm
M61,10,Calcification and ossification of muscle,211,Other connective tissue disease
I99,10,Other and unspecified disorders of circulatory system,117,Other circulatory disease
I06,10,Rheumatic aortic valve diseases,96,Heart valve disorders
H72,10,Perforation of tympanic membrane,92,Otitis media and related conditions
T87,10,Complications peculiar to reattachment and amputation,237,Complication of device; implant or graft
R36,10,Urethral discharge,163,Genitourinary symptoms and ill-defined conditions
B01,10,Varicella [chickenpox],76,Meningitis
N25,10,Disorders resulting from impaired renal tubular function,161,Other diseases of kidney and ureters
M45,10,Ankylosing spondylitis,202,Rheumatoid arthritis and related disease
B16,10,Acute hepatitis B,6,Hepatitis
D16,10,Benign neoplasm of bone and articular cartilage,47,Other and unspecified benign neoplasm
Q72,10,Reduction defects of lower limb,217,Other congenital anomalies
T15,10,Foreign body on external eye,244,Other injuries and conditions due to external causes
T17,10,Foreign body in respiratory tract,244,Other injuries and conditions due to external causes
T18,10,Foreign body in alimentary tract,244,Other injuries and conditions due to external causes
T16,10,Foreign body in ear,244,Other injuries and conditions due to external causes
T19,10,Foreign body in genitourinary tract,244,Other injuries and conditions due to external causes
I39,10,Endocarditis and heart valve disorders in diseases classified elsewhere,97,Peri-; endo-; and myocarditis; cardiomyopathy
N30,10,Cystitis,159,Urinary tract infections
Q60,10,Renal agenesis and other reduction defects of kidney,215,Genitourinary congenital anomalies
Q63,10,Other congenital malformations of kidney,215,Genitourinary congenital anomalies
M88,10,Osteitis deformans [Pagets disease of bone],212,Other bone disease and musculoskeletal deformities
C65,10,Malignant neoplasm of renal pelvis,33,Cancer of kidney and renal pelvis
L04,10,Acute lymphadenitis,247,Lymphadenitis
I88,10,Nonspecific lymphadenitis,247,Lymphadenitis
R59,10,Enlarged lymph nodes,247,Lymphadenitis
I82,10,Other venous embolism and thrombosis,118,Phlebitis; thrombophlebitis and thromboembolism
I81,10,Portal vein thrombosis,118,Phlebitis; thrombophlebitis and thromboembolism
N64,10,Other disorders of breast,167,Nonmalignant breast conditions
A77,10,Spotted fever [tick-borne rickettsioses],8,Other infections; including parasitic
B92,10,Sequelae of leprosy,8,Other infections; including parasitic
B99,10,Other and unspecified infectious diseases,8,Other infections; including parasitic
A79,10,Other rickettsioses,8,Other infections; including parasitic
B64,10,Unspecified protozoal disease,8,Other infections; including parasitic
B89,10,Unspecified parasitic disease,8,Other infections; including parasitic
C37,10,Malignant neoplasm of thymus,41,Cancer; other and unspecified primary
H52,10,Disorders of refraction and accommodation,89,Blindness and vision defects
Z14,10,Genetic carrier,259,Residual codes; unclassified
Z15,10,Genetic susceptibility to disease,259,Residual codes; unclassified
H22,10,Disorders of iris and ciliary body in diseases classified elsewhere,91,Other eye disorders
H21,10,Other disorders of iris and ciliary body,91,Other eye disorders
K59,10,Other functional intestinal disorders,155,Other gastrointestinal disorders
K31,10,Other diseases of stomach and duodenum,141,Other disorders of stomach and duodenum
H05,10,Disorders of orbit,90,Inflammation; infection of eye
B37,10,Candidiasis,4,Mycoses
J85,10,Abscess of lung and mediastinum,248,Gangrene
A08,10,Viral and other specified intestinal infections,135,Intestinal infection
D60,10,Acquired pure red cell aplasia [erythroblastopenia],59,Deficiency and other anemia
F04,10,Amnestic disorder due to known physiological condition,653,Delirium
R54,10,Age-related physical debility,653,Delirium
K70,10,Alcoholic liver disease,660,Alcohol-related disorders
R43,10,Disturbances of smell and taste,95,Other nervous system disorders
M08,10,Juvenile arthritis,202,Rheumatoid arthritis and related disease
Q84,10,Other congenital malformations of integument,217,Other congenital anomalies
W59,10,Contact with other nonvenomous reptiles,2611,E Codes: Natural/environment
H11,10,Other disorders of conjunctiva,91,Other eye disorders
B20,10,Human immunodeficiency virus [HIV] disease,5,HIV infection
H73,10,Other disorders of tympanic membrane,92,Otitis media and related conditions
E67,10,Other hyperalimentation,58,Other nutritional; endocrine; and metabolic disorders
Q71,10,Reduction defects of upper limb,217,Other congenital anomalies
Q73,10,Reduction defects of unspecified limb,217,Other congenital anomalies
N46,10,Male infertility,166,Other male genital disorders
M17,10,Osteoarthritis of knee,203,Osteoarthritis
I07,10,Rheumatic tricuspid valve diseases,96,Heart valve disorders
K50,10,Crohns disease [regional enteritis],144,Regional enteritis and ulcerative colitis
M41,10,Scoliosis,212,Other bone disease and musculoskeletal deformities
G10,10,Huntingtons disease,81,Other hereditary and degenerative nervous system conditions
C43,10,Malignant melanoma of skin,22,Melanomas of skin
D03,10,Melanoma in situ,22,Melanomas of skin
D70,10,Neutropenia,63,Diseases of white blood cells
R31,10,Hematuria,163,Genitourinary symptoms and ill-defined conditions
P05,10,Disorders of newborn related to slow fetal growth and fetal malnutrition,219,Short gestation; low birth weight; and fetal growth retardation
F31,10,Bipolar disorder,657,Mood disorders
C61,10,Malignant neoplasm of prostate,29,Cancer of prostate
J92,10,Pleural plaque,130,Pleurisy; pneumothorax; pulmonary collapse
J94,10,Other pleural conditions,130,Pleurisy; pneumothorax; pulmonary collapse
J90,10,"Pleural effusion, not elsewhere classified",130,Pleurisy; pneumothorax; pulmonary collapse
N45,10,Orchitis and epididymitis,165,Inflammatory conditions of male genital organs
Q28,10,Other congenital malformations of circulatory system,213,Cardiac and circulatory congenital anomalies
E10,10,Type 1 diabetes mellitus,49,Diabetes mellitus without complication
G35,10,Multiple sclerosis,80,Multiple sclerosis
E09,10,Drug or chemical induced diabetes mellitus,50,Diabetes mellitus with complications
E08,10,Diabetes mellitus due to underlying condition,50,Diabetes mellitus with complications
I01,10,Rheumatic fever with heart involvement,97,Peri-; endo-; and myocarditis; cardiomyopathy
I09,10,Other rheumatic heart diseases,97,Peri-; endo-; and myocarditis; cardiomyopathy
J80,10,Acute respiratory distress syndrome,131,Respiratory failure; insufficiency; arrest (adult)
Q53,10,Undescended and ectopic testicle,215,Genitourinary congenital anomalies
Q54,10,Hypospadias,215,Genitourinary congenital anomalies
C23,10,Malignant neoplasm of gallbladder,18,Cancer of other GI organs; peritoneum
C24,10,Malignant neoplasm of other and unspecified parts of biliary tract,18,Cancer of other GI organs; peritoneum
I78,10,Diseases of capillaries,117,Other circulatory disease
S51,10,Open wound of elbow and forearm,236,Open wounds of extremities
S81,10,Open wound of knee and lower leg,236,Open wounds of extremities
S41,10,Open wound of shoulder and upper arm,236,Open wounds of extremities
S71,10,Open wound of hip and thigh,236,Open wounds of extremities
I50,10,Heart failure,108,Congestive heart failure; nonhypertensive
R83,10,Abnormal findings in cerebrospinal fluid,258,Other screening for suspected conditions
Z13,10,Encounter for screening for other diseases and disorders,258,Other screening for suspected conditions
C68,10,Malignant neoplasm of other and unspecified urinary organs,34,Cancer of other urinary organs
C66,10,Malignant neoplasm of ureter,34,Cancer of other urinary organs
Z41,10,Encounter for procedures for purposes other than remedying health state,224,Other perinatal conditions
Z18,10,Retained foreign body fragments,238,Complications of surgical procedures or medical care
Z01,10,"Encounter for other special examination without complaint, suspected or reported diagnosis",256,Medical examination/evaluation
Z45,10,Encounter for adjustment and management of implanted device,105,Conduction disorders
Z46,10,Encounter for fitting and adjustment of other devices,91,Other eye disorders
Z03,10,Encounter for medical observation for suspected diseases and conditions ruled out,10,Immunizations and screening for infectious disease
Z00,10,"Encounter for general examination without complaint, suspected or reported diagnosis",256,Medical examination/evaluation
Z53,10,"Persons encountering health services for specific procedures and treatment, not carried out",259,Residual codes; unclassified
Z40,10,Encounter for prophylactic surgery,259,Residual codes; unclassified
Z04,10,Encounter for examination and observation for other reasons,244,Other injuries and conditions due to external causes
Z17,10,Estrogen receptor status,259,Residual codes; unclassified
Z09,10,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm,257,Other aftercare
Z08,10,Encounter for follow-up examination after completed treatment for malignant neoplasm,257,Other aftercare
R89,10,"Abnormal findings in specimens from other organs, systems and tissues",258,Other screening for suspected conditions
R94,10,Abnormal results of function studies,258,Other screening for suspected conditions
Z44,10,Encounter for fitting and adjustment of external prosthetic device,91,Other eye disorders
Z47,10,Orthopedic aftercare,257,Other aftercare
Z42,10,Encounter for plastic and reconstructive surgery following medical procedure or healed injury,257,Other aftercare
Z68,10,Body mass index [BMI],58,Other nutritional; endocrine; and metabolic disorders
Z02,10,Encounter for administrative examination,255,Administrative/social admission
Z49,10,Encounter for care involving renal dialysis,158,Chronic kidney disease
Z67,10,Blood type,259,Residual codes; unclassified
Z66,10,Do not resuscitate,259,Residual codes; unclassified
Z43,10,Encounter for attention to artificial openings,134,Other upper respiratory disease
Z52,10,Donors of organs and tissues,259,Residual codes; unclassified
Z48,10,Encounter for other postprocedural aftercare,257,Other aftercare
Z05,10,Encounter for observation and evaluation of newborn for suspected diseases and conditions ruled out,258,Other screening for suspected conditions
B18,10,Chronic viral hepatitis,6,Hepatitis
Z19,10,Hormone sensitivity malignancy status,259,Residual codes; unclassified
Z51,10,Encounter for other aftercare and medical care,45,Maintenance chemotherapy; radiotherapy
E20,10,Hypoparathyroidism,51,Other endocrine disorders
J31,10,"Chronic rhinitis, nasopharyngitis and pharyngitis",134,Other upper respiratory disease
J13,10,Pneumonia due to Streptococcus pneumoniae,122,Pneumonia
O85,10,Puerperal sepsis,195,Other complications of birth; puerperium affecting management of mother
H02,10,Other disorders of eyelid,91,Other eye disorders
J12,10,"Viral pneumonia, not elsewhere classified",122,Pneumonia
L68,10,Hypertrichosis,200,Other skin disorders
G23,10,Other degenerative diseases of basal ganglia,81,Other hereditary and degenerative nervous system conditions
H74,10,Other disorders of middle ear mastoid,92,Otitis media and related conditions
N19,10,Unspecified kidney failure,157,Acute and unspecified renal failure
F80,10,Specific developmental disorders of speech and language,654,Developmental disorders
M32,10,Systemic lupus erythematosus (SLE),210,Systemic lupus erythematosus and connective tissue disorders
A54,10,Gonococcal infection,9,Sexually transmitted infections
D28,10,Benign neoplasm of other and unspecified female genital organs,47,Other and unspecified benign neoplasm
B85,10,Pediculosis and phthiriasis,8,Other infections; including parasitic
G02,10,Meningitis in other infectious and parasitic diseases classified elsewhere,76,Meningitis
G03,10,Meningitis due to other and unspecified causes,76,Meningitis
A87,10,Viral meningitis,76,Meningitis
G01,10,Meningitis in bacterial diseases classified elsewhere,76,Meningitis
G00,10,"Bacterial meningitis, not elsewhere classified",76,Meningitis
E68,10,Sequelae of hyperalimentation,58,Other nutritional; endocrine; and metabolic disorders
J02,10,Acute pharyngitis,126,Other upper respiratory infections
P81,10,Other disturbances of temperature regulation of newborn,224,Other perinatal conditions
P80,10,Hypothermia of newborn,224,Other perinatal conditions
C49,10,Malignant neoplasm of other connective and soft tissue,21,Cancer of bone and connective tissue
C47,10,Malignant neoplasm of peripheral nerves and autonomic nervous system,35,Cancer of brain and nervous system
H36,10,Retinal disorders in diseases classified elsewhere,87,Retinal detachments; defects; vascular occlusion; and retinopathy
J68,10,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",132,Lung disease due to external agents
J70,10,Respiratory conditions due to other external agents,132,Lung disease due to external agents
T82,10,"Complications of cardiac and vascular prosthetic devices, implants and grafts",237,Complication of device; implant or graft
R30,10,Pain associated with micturition,163,Genitourinary symptoms and ill-defined conditions
I40,10,Acute myocarditis,97,Peri-; endo-; and myocarditis; cardiomyopathy
I41,10,Myocarditis in diseases classified elsewhere,97,Peri-; endo-; and myocarditis; cardiomyopathy
R37,10,"Sexual dysfunction, unspecified",670,Miscellaneous mental health disorders
F65,10,Paraphilias,670,Miscellaneous mental health disorders
F66,10,Other sexual disorders,670,Miscellaneous mental health disorders
N52,10,Male erectile dysfunction,166,Other male genital disorders
F64,10,Gender identity disorders,670,Miscellaneous mental health disorders
N03,10,Chronic nephritic syndrome,156,Nephritis; nephrosis; renal sclerosis
E63,10,Other nutritional deficiencies,52,Nutritional deficiencies
R60,10,"Edema, not elsewhere classified",259,Residual codes; unclassified
I38,10,"Endocarditis, valve unspecified",97,Peri-; endo-; and myocarditis; cardiomyopathy
I33,10,Acute and subacute endocarditis,97,Peri-; endo-; and myocarditis; cardiomyopathy
N40,10,Benign prostatic hyperplasia,164,Hyperplasia of prostate
J01,10,Acute sinusitis,126,Other upper respiratory infections
D83,10,Common variable immunodeficiency,57,Immunity disorders
H91,10,Other and unspecified hearing loss,94,Other ear and sense organ disorders
H90,10,Conductive and sensorineural hearing loss,94,Other ear and sense organ disorders
P72,10,Other transitory neonatal endocrine disorders,224,Other perinatal conditions
P71,10,Transitory neonatal disorders of calcium and magnesium metabolism,224,Other perinatal conditions
P70,10,Transitory disorders of carbohydrate metabolism specific to newborn,224,Other perinatal conditions
P92,10,Feeding problems of newborn,224,Other perinatal conditions
P74,10,Other transitory neonatal electrolyte and metabolic disturbances,224,Other perinatal conditions
L21,10,Seborrheic dermatitis,198,Other inflammatory condition of skin
T84,10,"Complications of internal orthopedic prosthetic devices, implants and grafts",237,Complication of device; implant or graft
I46,10,Cardiac arrest,107,Cardiac arrest and ventricular fibrillation
Q68,10,Other congenital musculoskeletal deformities,217,Other congenital anomalies
Q27,10,Other congenital malformations of peripheral vascular system,213,Cardiac and circulatory congenital anomalies
D04,10,Carcinoma in situ of skin,23,Other non-epithelial cancer of skin
G50,10,Disorders of trigeminal nerve,95,Other nervous system disorders
S88,10,Traumatic amputation of lower leg,236,Open wounds of extremities
S48,10,Traumatic amputation of shoulder and upper arm,236,Open wounds of extremities
S78,10,Traumatic amputation of hip and thigh,236,Open wounds of extremities
S98,10,Traumatic amputation of ankle and foot,236,Open wounds of extremities
S58,10,Traumatic amputation of elbow and forearm,236,Open wounds of extremities
S68,10,"Traumatic amputation of wrist, hand and fingers",236,Open wounds of extremities
H10,10,Conjunctivitis,90,Inflammation; infection of eye
S34,10,"Injury of lumbar and sacral spinal cord and nerves at abdomen, lower back and pelvis level",227,Spinal cord injury
S24,10,Injury of nerves and spinal cord at thorax level,227,Spinal cord injury
S14,10,Injury of nerves and spinal cord at neck level,227,Spinal cord injury
S26,10,Injury of heart,234,Crushing injury or internal injury
S27,10,Injury of other and unspecified intrathoracic organs,234,Crushing injury or internal injury
